# Synthetic BurnSim-style export for RMCS Analyzer testing
# Based on the RMCS Analyzer Synthetic-Test-01 through Synthetic-Test-05 dataset
# Values are synthetic and are not an actual BurnSim run.
Time (s),Pressure (psi),Thrust (N)
0.000000,0.000000,0.000000
0.012500,0.000000,0.000000
0.025000,0.000000,0.000000
0.037500,0.000000,0.000000
0.050000,0.000000,0.000000
0.062500,0.000000,0.000000
0.075000,6.220507,28.502227
0.087500,11.856741,65.080371
0.100000,18.484786,110.740808
0.112500,25.737829,162.330002
0.125000,31.514642,213.479392
0.137500,35.280872,246.951623
0.150000,37.716359,268.629157
0.162500,39.156563,281.478464
0.175000,39.982876,288.135557
0.187500,40.246119,290.127425
0.200000,40.200084,289.317565
0.212500,39.932609,286.909011
0.225000,39.543495,283.118233
0.237500,39.009932,278.743486
0.250000,38.334971,273.703613
0.262500,37.611776,268.471893
0.275000,36.839500,262.407938
0.287500,36.088706,255.953098
0.300000,35.273039,249.448052
0.312500,34.496985,242.730583
0.325000,33.815011,236.227978
0.337500,33.093147,229.747576
0.350000,32.407903,223.306508
0.362500,31.698344,216.652789
0.375000,31.054292,210.161434
0.387500,30.365761,203.560714
0.400000,29.744640,197.104584
0.412500,29.036783,191.167479
0.425000,28.443337,185.330036
0.437500,27.866446,180.318976
0.450000,27.333734,175.007818
0.462500,26.726119,170.140033
0.475000,26.250841,165.575570
0.487500,25.721234,161.149812
0.500000,25.148035,156.708960
0.512500,23.781611,147.868984
0.525000,20.689543,127.890321
0.537500,16.681885,102.781157
0.550000,11.790399,72.469067
0.562500,7.026572,42.650430
0.575000,3.160573,18.647580
0.587500,1.188316,6.940663
0.600000,0.142423,0.734970
0.612500,0.176055,0.711170
0.625000,0.188627,0.827554
0.637500,0.199864,0.871605
0.650000,0.189632,0.570897
0.662500,0.207855,0.492486
0.675000,0.139559,0.356245
0.687500,0.117554,0.342981
0.700000,0.114717,0.667099
0.712500,0.161646,0.786633
0.725000,0.166985,0.853282
0.737500,0.193158,1.120617
0.750000,0.184286,1.007440
0.762500,0.136876,0.649762
0.775000,0.080230,0.593450
0.787500,0.062343,0.575785
0.800000,0.076294,0.476124
0.812500,0.098902,0.568863
0.825000,0.113551,0.517536
0.837500,0.096520,0.450142
0.850000,0.106866,0.347969
0.862500,0.067145,0.201971
0.875000,0.042033,0.110378
0.887500,0.020864,0.063659
0.900000,0.000000,0.000000
