# Synthetic OpenMotor-style simulation export for RMCS Analyzer testing
# Based on the RMCS Analyzer Synthetic-Test-01 through Synthetic-Test-05 dataset
# Values are synthetic and are not an actual OpenMotor run.
Time (s),Chamber Pressure (psi),Thrust (N),Kn (-),Mass Flow (kg/s),Mass Flux (kg/m^2/s),Regression (m),Web (m)
0.000000,0.000000,0.000000,2.450000,0.000000,0.000000,0.000000,0.050000
0.012500,0.000000,0.000000,2.450000,0.000000,0.000000,0.000000,0.050000
0.025000,0.000000,0.000000,2.450000,0.000000,0.000000,0.000000,0.050000
0.037500,0.000000,0.000000,2.450000,0.000000,0.000000,0.000000,0.050000
0.050000,0.000000,0.000000,2.450000,0.000000,0.000000,0.000000,0.050000
0.062500,0.000000,0.000000,2.450000,0.000000,0.000000,0.000000,0.050000
0.075000,6.220507,28.502227,2.450000,0.013572,15.080543,0.000000,0.050000
0.087500,11.856741,65.080371,2.455234,0.030991,34.434059,0.000001,0.049999
0.100000,18.484786,110.740808,2.460453,0.052734,58.593020,0.000002,0.049998
0.112500,25.737829,162.330002,2.465643,0.077300,85.888890,0.000003,0.049997
0.125000,31.514642,213.479392,2.470791,0.101657,112.952059,0.000006,0.049994
0.137500,35.280872,246.951623,2.475882,0.117596,130.662235,0.000008,0.049992
0.150000,37.716359,268.629157,2.480902,0.127919,142.131829,0.000010,0.049990
0.162500,39.156563,281.478464,2.485837,0.134037,148.930404,0.000013,0.049987
0.175000,39.982876,288.135557,2.490674,0.137207,152.452676,0.000016,0.049984
0.187500,40.246119,290.127425,2.495399,0.138156,153.506574,0.000019,0.049981
0.200000,40.200084,289.317565,2.500000,0.137770,153.078077,0.000021,0.049979
0.212500,39.932609,286.909011,2.504464,0.136623,151.803709,0.000024,0.049976
0.225000,39.543495,283.118233,2.508779,0.134818,149.798007,0.000027,0.049973
0.237500,39.009932,278.743486,2.512932,0.132735,147.483326,0.000029,0.049971
0.250000,38.334971,273.703613,2.516913,0.130335,144.816726,0.000032,0.049968
0.262500,37.611776,268.471893,2.520711,0.127844,142.048621,0.000035,0.049965
0.275000,36.839500,262.407938,2.524314,0.124956,138.840179,0.000037,0.049963
0.287500,36.088706,255.953098,2.527715,0.121882,135.424920,0.000040,0.049960
0.300000,35.273039,249.448052,2.530902,0.118785,131.983097,0.000042,0.049958
0.312500,34.496985,242.730583,2.533867,0.115586,128.428880,0.000044,0.049956
0.325000,33.815011,236.227978,2.536603,0.112490,124.988348,0.000046,0.049954
0.337500,33.093147,229.747576,2.539101,0.109404,121.559564,0.000049,0.049951
0.350000,32.407903,223.306508,2.541355,0.106336,118.151592,0.000051,0.049949
0.362500,31.698344,216.652789,2.543358,0.103168,114.631105,0.000053,0.049947
0.375000,31.054292,210.161434,2.545106,0.100077,111.196526,0.000055,0.049945
0.387500,30.365761,203.560714,2.546593,0.096934,107.704082,0.000057,0.049943
0.400000,29.744640,197.104584,2.547815,0.093859,104.288139,0.000059,0.049941
0.412500,29.036783,191.167479,2.548769,0.091032,101.146814,0.000061,0.049939
0.425000,28.443337,185.330036,2.549452,0.088252,98.058220,0.000062,0.049938
0.437500,27.866446,180.318976,2.549863,0.085866,95.406866,0.000064,0.049936
0.450000,27.333734,175.007818,2.550000,0.083337,92.596729,0.000066,0.049934
0.462500,26.726119,170.140033,2.549863,0.081019,90.021181,0.000067,0.049933
0.475000,26.250841,165.575570,2.549452,0.078846,87.606121,0.000069,0.049931
0.487500,25.721234,161.149812,2.548769,0.076738,85.264451,0.000070,0.049930
0.500000,25.148035,156.708960,2.547815,0.074623,82.914794,0.000072,0.049928
0.512500,23.781611,147.868984,2.546593,0.070414,78.237558,0.000073,0.049927
0.525000,20.689543,127.890321,2.545106,0.060900,67.666836,0.000075,0.049925
0.537500,16.681885,102.781157,2.543358,0.048943,54.381565,0.000075,0.049925
0.550000,11.790399,72.469067,2.541355,0.034509,38.343422,0.000076,0.049924
0.562500,7.026572,42.650430,2.539101,0.020310,22.566365,0.000077,0.049923
0.575000,3.160573,18.647580,2.536603,0.008880,9.866444,0.000077,0.049923
0.587500,1.188316,6.940663,2.533867,0.003305,3.672309,0.000077,0.049923
0.600000,0.142423,0.734970,2.530902,0.000350,0.388873,0.000077,0.049923
0.612500,0.176055,0.711170,2.527715,0.000339,0.376280,0.000077,0.049923
0.625000,0.188627,0.827554,2.524314,0.000394,0.437859,0.000077,0.049923
0.637500,0.199864,0.871605,2.520711,0.000415,0.461167,0.000077,0.049923
0.650000,0.189632,0.570897,2.516913,0.000272,0.302062,0.000077,0.049923
0.662500,0.207855,0.492486,2.512932,0.000235,0.260575,0.000077,0.049923
0.675000,0.139559,0.356245,2.508779,0.000170,0.188489,0.000077,0.049923
0.687500,0.117554,0.342981,2.504464,0.000163,0.181471,0.000077,0.049923
0.700000,0.114717,0.667099,2.500000,0.000318,0.352962,0.000077,0.049923
0.712500,0.161646,0.786633,2.495399,0.000375,0.416208,0.000077,0.049923
0.725000,0.166985,0.853282,2.490674,0.000406,0.451472,0.000077,0.049923
0.737500,0.193158,1.120617,2.485837,0.000534,0.592919,0.000077,0.049923
0.750000,0.184286,1.007440,2.480902,0.000480,0.533037,0.000077,0.049923
0.762500,0.136876,0.649762,2.475882,0.000309,0.343790,0.000077,0.049923
0.775000,0.080230,0.593450,2.470791,0.000283,0.313995,0.000077,0.049923
0.787500,0.062343,0.575785,2.465643,0.000274,0.304648,0.000077,0.049923
0.800000,0.076294,0.476124,2.460453,0.000227,0.251918,0.000077,0.049923
0.812500,0.098902,0.568863,2.455234,0.000271,0.300986,0.000077,0.049923
0.825000,0.113551,0.517536,2.450000,0.000246,0.273829,0.000077,0.049923
0.837500,0.096520,0.450142,2.450000,0.000214,0.238171,0.000077,0.049923
0.850000,0.106866,0.347969,2.450000,0.000166,0.184111,0.000077,0.049923
0.862500,0.067145,0.201971,2.450000,0.000096,0.106863,0.000077,0.049923
0.875000,0.042033,0.110378,2.450000,0.000053,0.058401,0.000077,0.049923
0.887500,0.020864,0.063659,2.450000,0.000030,0.033682,0.000077,0.049923
0.900000,0.000000,0.000000,2.450000,0.000000,0.000000,0.000077,0.049923
